generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,15,0.4,0,0,2.0,40,0.0,2.70805020110221,1741001833.653101
1,50,54,0.4,22,0,1.92,38,0.96,2.7240502908860122,1741001835.047005
2,50,59,0.4,16,0,2.34,34,0.96,2.6642610086485132,1741001835.051538
3,50,66,0.4,15,0,2.8,40,0.96,2.7149353805753837,1741001835.0552664
4,50,75,0.4,18,0,3.3,41,0.96,2.58462056983298,1741001835.0590894
5,50,83,0.4,21,0,3.44,43,0.96,2.7385289306869387,1741001835.062986
6,50,114,0.4,17,0,3.4,36,0.96,2.8008410421794148,1741001835.066989
7,50,121,0.4,22,0,3.94,41,0.96,2.8121974426925322,1741001835.071111
8,50,142,0.4,18,0,4.5,43,0.96,2.937569518427251,1741001835.0754967
9,50,151,0.4,18,0,4.92,45,0.96,3.0006156899562977,1741001835.079888
10,50,159,0.4,13,0,5.2,36,0.96,2.8698439423481883,1741001835.0843801
11,50,176,0.4,26,0,5.54,43,0.96,2.980157143093503,1741001836.4127028
12,50,191,0.4,29,0,5.92,52,0.96,3.085633176554866,1741001836.4182503
13,50,206,0.4,24,0,6.24,59,0.96,3.2059414996721056,1741001836.4232278
14,50,212,0.4,21,0,6.62,70,0.96,3.2324189418473708,1741001836.4282866
15,50,226,0.4,21,0,7.34,64,0.96,3.145284692656098,1741001836.433566
16,50,232,0.4,17,0,8.12,67,0.96,3.0362641576206326,1741001836.4389598
17,50,243,0.4,20,0,8.48,72,0.96,3.015435778095688,1741001836.4444613
18,50,252,0.4,18,0,8.84,63,0.96,2.793465338584647,1741001836.4500592
19,50,267,0.4,22,0,9.04,59,0.96,2.843838896183167,1741001836.4557772
20,50,281,0.4,15,0,9.22,51,0.96,2.8634781312039137,1741001836.461603
21,50,295,0.4,15,0,9.3,40,0.96,2.814291543265293,1741001837.8480427
22,50,297,0.4,18,0,9.68,43,0.96,2.7202068347603974,1741001837.8548505
23,50,299,0.4,18,0,10.04,46,0.96,2.604375679396416,1741001837.8627937
24,50,302,0.4,22,0,10.58,53,0.96,2.64343417062442,1741001837.8694437
25,50,310,0.4,16,0,10.9,57,0.96,2.676289397659527,1741001837.8761768
26,50,322,0.4,23,0,11.14,58,0.96,2.7152416352351043,1741001837.8825116
27,50,343,0.4,19,0,11.58,60,0.96,2.7318715152222244,1741001837.888988
28,50,350,0.4,23,0,12.18,65,0.96,2.7377132675359084,1741001837.8956277
29,50,369,0.4,18,0,12.64,56,0.96,2.678972901159501,1741001837.9023564
30,50,399,0.4,22,0,12.92,60,0.96,2.8414335757580154,1741001837.9093802
31,50,414,0.4,16,0,13.34,55,0.96,2.8111206712755292,1741001839.2488234
32,50,419,0.4,21,0,13.72,60,0.96,2.8872230234763645,1741001839.2569132
33,50,428,0.4,18,0,13.96,58,0.96,2.8446887987360077,1741001839.2641587
34,50,440,0.4,23,0,14.5,58,0.96,2.849223150246052,1741001839.272327
35,50,439,0.4,11,0,15.06,55,0.96,2.9078620782488107,1741001839.279817
36,50,444,0.4,18,0,15.3,60,0.96,2.893192012720023,1741001839.287341
37,50,457,0.4,21,0,15.66,68,0.96,2.9335455302242037,1741001839.2950962
38,50,476,0.4,16,0,15.84,70,0.96,2.9511859371295754,1741001839.3028786
39,50,495,0.4,14,0,15.68,68,0.96,2.9780530710565087,1741001839.3107708
40,50,506,0.4,16,0,16.04,70,0.96,2.996079850483017,1741001839.3189414
41,50,509,0.4,21,0,16.8,73,0.96,3.0315445491445185,1741001840.6917295
42,50,525,0.4,13,0,16.84,65,0.96,3.1328922620431614,1741001840.737885
43,50,529,0.4,19,0,17.46,74,0.96,3.1411304209131297,1741001840.7463312
44,50,531,0.4,12,0,17.62,68,0.96,3.1527969387234562,1741001840.7545593
45,50,534,0.4,19,0,18.1,73,0.96,3.1895123963091407,1741001840.7629752
46,50,540,0.4,20,0,18.48,67,0.96,3.14846339999935,1741001840.7714422
47,50,553,0.4,18,0,18.9,65,0.96,3.0940571749745547,1741001840.7800105
48,50,569,0.4,22,0,18.9,68,0.96,3.126437167948104,1741001840.7888064
49,50,585,0.4,20,0,19.18,63,0.96,3.1919877127851928,1741001840.797617
