generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,30,18,0.4,0,0,2.066666666666667,62,0.0,2.8903717578961645,1741001743.1022122
1,100,94,0.4,36,0,2.45,65,0.97,3.079430571660562,1741001743.1080484
2,100,113,0.4,32,0,2.68,70,0.97,3.0801786381115646,1741001743.113323
3,100,121,0.4,38,0,3.26,77,0.97,3.1313454044280213,1741001743.1183825
4,100,148,0.4,36,0,3.44,74,0.97,3.197168148302752,1741001743.12354
5,100,165,0.4,42,0,3.79,84,0.97,3.34196117646674,1741001743.1297824
6,100,192,0.4,42,0,4.23,101,0.97,3.5429847275441424,1741001743.135378
7,100,218,0.4,38,0,4.61,101,0.97,3.519306709295175,1741001743.141331
8,100,235,0.4,35,0,4.9,103,0.97,3.582178700249005,1741001743.1473773
9,100,242,0.4,46,0,5.35,110,0.97,3.559373683144823,1741001743.153626
10,79,202,0.45599999999999996,29,0,5.936708860759493,102,0.9746835443037974,3.4642993087946574,1741001743.1606643
11,79,230,0.5198399999999999,39,0,6.430379746835443,92,0.9873417721518988,3.330984412845911,1741001743.1677954
12,79,259,0.5926175999999997,40,0,6.7215189873417724,102,0.9873417721518988,3.3767457050258765,1741001743.1753142
13,100,365,0.5926175999999997,63,0,7.28,128,0.99,3.525529548677221,1741001743.182639
14,100,401,0.5926175999999997,55,0,7.68,127,0.99,3.6146368492680865,1741001743.1903698
15,100,438,0.5926175999999997,61,0,8.09,133,0.99,3.8170240892828655,1741001743.2187307
16,100,483,0.5926175999999997,56,0,8.34,149,0.99,3.867016350369102,1741001743.226998
17,100,508,0.5926175999999997,55,0,8.75,146,0.99,3.8300368720402433,1741001743.2353058
18,100,554,0.5926175999999997,57,0,9.16,148,0.99,3.81893270697271,1741001743.243971
19,100,600,0.5926175999999997,56,0,9.4,141,0.99,3.8288334969352857,1741001743.2529361
20,100,642,0.5926175999999997,60,0,9.54,140,0.99,3.860529912825552,1741001743.262358
21,100,679,0.5926175999999997,56,0,9.96,156,0.99,3.9262319990092513,1741001743.2719235
