generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,30,17,0.4,0,0,2.1333333333333333,64,0.0,2.833213344056216,1741002486.0647204
1,100,75,0.398,36,0,2.85,66,0.97,2.815022796003941,1741002487.4324298
2,100,110,0.39601000000000003,36,0,3.04,68,0.97,3.0178315721865374,1741002487.4408834
3,100,120,0.39402995,44,0,3.41,75,0.97,3.004191366642576,1741002487.452926
4,100,137,0.39205980025,40,0,3.66,81,0.97,3.1590466601522005,1741002487.4594789
5,100,154,0.39009950124875004,33,0,3.88,86,0.97,3.248900206211398,1741002487.4846172
6,100,181,0.38814900374250627,38,0,3.94,92,0.97,3.3303682362852487,1741002487.5073116
7,100,207,0.3862082587237937,38,0,4.1,101,0.97,3.432843033696906,1741002487.5151577
8,100,220,0.38427721743017473,36,0,4.37,96,0.97,3.4401465138089597,1741002487.524615
9,100,237,0.38235583134302387,43,0,4.69,102,0.97,3.574243716330849,1741002487.532905
10,100,265,0.3804440521863088,43,0,4.94,100,0.97,3.6015188887026004,1741002487.540556
11,100,278,0.3785418319253772,35,0,5.26,105,0.97,3.6332994052861767,1741002489.0223632
12,100,291,0.3766491227657503,39,0,5.55,108,0.97,3.668457921195745,1741002489.030956
13,100,322,0.37476587715192156,33,0,5.95,107,0.97,3.653549961608887,1741002489.038041
14,100,356,0.37289204776616197,38,0,6.2,117,0.97,3.62074090636465,1741002489.0472696
15,100,371,0.37102758752733117,35,0,6.72,117,0.97,3.6316984438059183,1741002489.0812807
16,100,421,0.3691724495896945,41,0,6.94,122,0.97,3.715896951720792,1741002489.1015363
17,100,460,0.367326587341746,39,0,7.06,125,0.97,3.6572221145573534,1741002489.1313202
18,100,477,0.3654899544050373,38,0,7.54,127,0.97,3.7244462237097182,1741002489.1712027
19,100,504,0.3636625046330121,25,0,7.7,114,0.97,3.7172082800782698,1741002489.2046697
20,100,528,0.36184419210984703,43,0,8.16,111,0.97,3.8220079540253793,1741002489.222638
21,100,572,0.36003497114929783,32,0,8.26,116,0.97,3.8189879945208487,1741002490.7884068
22,100,629,0.3582347962935513,39,0,8.19,119,0.97,3.7102719065036354,1741002490.8040156
23,100,656,0.35644362231208354,37,0,8.31,113,0.97,3.7053878894255687,1741002490.8276148
24,100,697,0.35466140420052317,36,0,8.51,118,0.97,3.808515156083682,1741002490.8488305
25,100,716,0.3528880971795205,35,0,8.78,113,0.97,3.797978940328348,1741002490.8716838
26,100,749,0.3511236566936229,37,0,8.66,112,0.97,3.745095963363089,1741002490.896852
27,100,772,0.3493680384101548,37,0,8.92,112,0.97,3.769124296900295,1741002490.9178493
28,100,839,0.34762119821810405,33,0,8.52,113,0.97,3.4784656636658884,1741002490.9426527
29,100,872,0.3458830922270135,33,0,8.49,95,0.97,3.330701210800491,1741002490.9657624
30,100,888,0.34415367676587844,34,0,8.77,98,0.97,3.286845935452503,1741002490.9984207
31,100,901,0.34243290838204904,31,0,9.1,103,0.97,3.4483148459583104,1741002492.4186037
32,100,916,0.3407207438401388,32,0,9.29,104,0.97,3.2981300314123123,1741002492.4319067
33,100,935,0.3390171401209381,30,0,9.71,114,0.97,3.2253758794673444,1741002492.4463305
34,100,943,0.3373220544203334,34,0,10.06,105,0.97,3.082562096318948,1741002492.4571896
35,100,955,0.3356354441482317,30,0,10.32,102,0.97,3.01388902596433,1741002492.4752069
36,100,964,0.3339572669274906,26,0,10.74,104,0.97,3.161610353842331,1741002492.5050755
