generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,14,0.6,0,0,1.9,38,0.0,2.6390573296152584,1741001762.5257387
1,50,53,0.6,25,0,2.44,39,0.96,2.809114593253108,1741001763.707243
2,50,76,0.6,31,0,3.02,41,0.96,2.9852704238296903,1741001763.711563
3,50,102,0.6,32,0,3.74,48,0.96,3.0078318983324537,1741001763.7157652
4,50,124,0.6,33,0,4.3,50,0.96,2.6732192881057077,1741001763.7200258
5,50,142,0.6,24,0,4.64,54,0.96,3.0031778506136524,1741001763.7243283
6,50,155,0.6,28,0,5.24,60,0.96,2.83254083651807,1741001763.7288175
7,50,166,0.6,32,0,5.5,66,0.96,2.8238576046493913,1741001763.733508
8,50,174,0.6,30,0,6.0,72,0.96,2.932453863147884,1741001763.738178
9,50,187,0.6,30,0,6.28,79,0.96,3.008405527706333,1741001763.743094
10,50,212,0.6,29,0,6.56,79,0.96,3.1495510990428492,1741001763.7481353
11,50,241,0.6,25,0,6.92,69,0.96,3.084097345295927,1741001765.078733
12,50,268,0.6,28,0,7.42,68,0.96,3.2656069276468327,1741001765.084888
13,50,288,0.6,29,0,7.82,70,0.96,3.3081474918573868,1741001765.0905294
14,50,303,0.6,30,0,8.06,67,0.96,3.2058265410208886,1741001765.0962915
15,50,298,0.6,31,0,8.72,73,0.96,3.1018961530775093,1741001765.102088
16,50,310,0.6,30,0,9.2,79,0.96,3.164665692583837,1741001765.1080213
17,50,342,0.6,30,0,9.04,85,0.96,3.261830507621909,1741001765.114097
18,50,357,0.6,31,0,9.46,88,0.96,3.2735650303589265,1741001765.1203053
19,50,358,0.6,31,0,10.34,88,0.96,3.191056316849639,1741001765.1270835
20,50,376,0.6,23,0,10.4,78,0.96,3.1195738451763497,1741001765.133469
21,50,381,0.6,31,0,11.22,87,0.96,3.1398780569088682,1741001766.5198033
22,50,393,0.6,29,0,11.64,99,0.96,3.1781702395730873,1741001766.5291643
23,50,410,0.6,25,0,11.72,73,0.96,2.841266657347649,1741001766.5359335
24,50,420,0.6,26,0,12.18,77,0.96,2.9404900610121247,1741001766.5429006
25,50,422,0.6,29,0,12.8,79,0.96,2.893225371865975,1741001766.5499122
26,50,433,0.6,28,0,13.04,70,0.96,2.8077267430655137,1741001766.5570352
27,50,450,0.6,32,0,13.6,80,0.96,2.931297489369476,1741001766.5643556
28,50,464,0.6,25,0,14.16,85,0.96,2.9972641348879105,1741001766.572015
29,50,490,0.6,28,0,14.02,85,0.96,3.109276358770136,1741001766.5796354
30,50,511,0.6,29,0,14.22,91,0.96,3.221313933682015,1741001766.5873957
31,50,522,0.6,30,0,14.88,91,0.96,3.2526679752393277,1741001767.9178762
32,50,527,0.6,25,0,15.52,103,0.96,3.2557530318714205,1741001767.926682
33,50,536,0.6,30,0,15.8,102,0.96,3.252840227605526,1741001767.9346766
34,50,546,0.6,24,0,16.48,83,0.96,3.2145872646528866,1741001767.9427934
35,50,567,0.6,30,0,16.8,74,0.96,3.1486438859787156,1741001767.9511538
36,50,575,0.6,29,0,17.36,76,0.96,3.1556823202738586,1741001767.9599822
37,50,586,0.6,27,0,18.02,78,0.96,3.238664757251659,1741001767.9685767
38,50,599,0.6,26,0,18.1,80,0.96,3.2364780064574705,1741001767.977196
39,50,630,0.6,25,0,18.1,74,0.96,3.3417334237914855,1741001767.986034
40,50,657,0.6,24,0,18.04,73,0.96,3.391221310423575,1741001767.9949324
41,50,661,0.6,25,0,18.8,80,0.96,3.3134361737842197,1741001769.3501492
42,50,683,0.6,35,0,19.24,85,0.96,3.341392733911924,1741001769.3977613
43,50,692,0.6,22,0,19.66,80,0.96,3.365341151735604,1741001769.4080071
44,50,704,0.6,24,0,20.34,72,0.96,3.23687536970279,1741001769.4181974
45,50,719,0.6,31,0,21.0,81,0.96,3.250203412591346,1741001769.4286723
46,50,728,0.6,27,0,21.88,78,0.96,3.248049726640105,1741001769.4395697
47,50,743,0.6,27,0,22.52,83,0.96,3.277139251583649,1741001769.4503727
48,50,748,0.6,32,0,23.68,100,0.96,3.159502151293539,1741001769.4614346
49,50,760,0.6,26,0,24.14,82,0.96,3.0945826764433932,1741001769.4716067
