generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,20,16,0.3,0,0,2.1,42,0.0,2.772588722239781,1741001783.2178168
1,50,51,0.3,17,0,2.5,45,0.96,2.5902442325722093,1741001784.3838906
2,50,60,0.3,16,0,3.06,48,0.96,2.613702683528056,1741001784.3882375
3,50,67,0.3,21,0,3.7,51,0.96,2.504036445756169,1741001784.392116
4,50,77,0.3,19,0,4.0,50,0.96,2.5338111800505363,1741001784.396095
5,50,89,0.3,18,0,4.14,46,0.96,2.5023718744833308,1741001784.4001632
6,50,97,0.3,10,0,4.32,45,0.96,2.4400892288550766,1741001784.40424
7,50,103,0.3,14,0,4.5,43,0.96,2.660351679852398,1741001784.4084308
8,50,110,0.3,13,0,4.52,43,0.96,2.56880167344546,1741001784.412666
9,50,118,0.3,15,0,4.76,39,0.96,2.3665336442826583,1741001784.4169621
10,50,126,0.3,13,0,5.02,38,0.96,2.4385729245509644,1741001784.423267
11,50,124,0.3,10,0,5.64,39,0.96,2.4148198309791553,1741001785.8125312
12,50,133,0.3,18,0,5.62,40,0.96,2.5864440492409515,1741001785.8186808
13,50,150,0.3,19,0,5.64,43,0.96,2.7204166291832386,1741001785.8233352
14,50,153,0.3,14,0,6.1,44,0.96,2.5300524682334102,1741001785.8280191
15,50,151,0.3,11,0,6.42,41,0.96,2.2216002865132216,1741001785.8328876
16,50,154,0.3,14,0,6.8,37,0.96,2.146790004485336,1741001785.837756
17,50,174,0.3,19,0,6.96,36,0.96,2.3782946008116133,1741001785.842703
18,50,184,0.3,14,0,7.2,39,0.96,2.4990010120770667,1741001785.847858
19,50,188,0.3,14,0,7.56,39,0.96,2.4970543986089755,1741001785.8530593
20,50,193,0.3,17,0,7.54,45,0.96,2.5502324410242743,1741001785.858283
21,50,202,0.3,14,0,7.64,45,0.96,2.5125506937862916,1741001787.2940173
22,50,215,0.3,13,0,8.02,49,0.96,2.6246565940156974,1741001787.3001792
23,50,226,0.3,15,0,8.48,54,0.96,2.7394347213065267,1741001787.3058019
24,50,244,0.3,16,0,8.8,52,0.96,2.892171722337688,1741001787.311604
25,50,253,0.3,13,0,8.96,53,0.96,2.938180490426959,1741001787.3191562
26,50,266,0.3,16,0,9.0,48,0.96,2.924294543513401,1741001787.3635986
27,50,280,0.3,8,0,9.14,49,0.96,2.974167471197636,1741001787.3700004
28,50,294,0.3,14,0,9.34,54,0.96,3.031387041397811,1741001787.376494
29,50,312,0.3,12,0,9.38,46,0.96,3.0526180893106463,1741001787.3829894
30,50,320,0.3,14,0,9.66,51,0.96,3.1440037372483363,1741001787.3896325
31,50,331,0.3,16,0,9.86,48,0.96,3.1798284086479205,1741001788.714041
32,50,331,0.3,15,0,10.36,53,0.96,3.1638110332509264,1741001788.7231016
33,50,342,0.3,9,0,10.56,56,0.96,3.18748158632181,1741001788.7295468
34,50,357,0.3,20,0,10.7,55,0.96,3.23860091501359,1741001788.736527
35,50,369,0.3,12,0,10.7,57,0.96,3.2150948851497234,1741001788.7436059
36,50,379,0.3,18,0,11.26,64,0.96,3.2978562281120753,1741001788.750864
37,50,385,0.3,11,0,11.6,61,0.96,3.2595869802812447,1741001788.7581804
38,50,386,0.3,15,0,12.14,67,0.96,3.309098878729969,1741001788.76547
39,50,392,0.3,16,0,12.4,69,0.96,3.3656271403025846,1741001788.7724817
40,50,400,0.3,11,0,12.66,69,0.96,3.407838975634209,1741001788.779586
41,50,418,0.3,17,0,12.92,75,0.96,3.4874529415963833,1741001790.1406627
42,50,423,0.3,16,0,13.58,76,0.96,3.4534557045178382,1741001790.1489995
43,50,429,0.3,14,0,14.16,68,0.96,3.2645946496143408,1741001790.1584363
44,50,445,0.3,13,0,14.54,67,0.96,3.0735715700520294,1741001790.1664894
45,50,454,0.3,18,0,14.88,61,0.96,3.063518441300396,1741001790.174162
46,50,461,0.3,12,0,15.32,57,0.96,2.9017927268540133,1741001790.181958
47,50,473,0.3,11,0,15.62,60,0.96,2.848238918076003,1741001790.1898475
48,50,491,0.3,13,0,15.74,49,0.96,2.8766650600749424,1741001790.1978717
49,50,495,0.3,5,0,16.16,51,0.96,2.8950305378844075,1741001790.2061248
